timestamp,event,player,color,points,total_p1,total_p2,round
2026-01-15T08:41:34.910526,score_board,1,geel,1,0,0,1
2026-01-15T08:41:37.163844,score_board,1,geel,1,0,0,1
2026-01-15T08:41:37.329478,score_board,1,geel,1,0,0,1
2026-01-15T08:41:37.494383,score_board,1,geel,1,0,0,1
2026-01-15T08:41:37.494901,score_board,1,geel,1,0,0,1
2026-01-15T08:41:37.495140,score_board,1,geel,1,0,0,1
2026-01-15T08:41:37.881539,score_hole,1,wit,3,0,0,1
2026-01-15T08:41:38.000711,score_board,1,wit,1,0,0,1
2026-01-15T08:41:38.065319,score_hole,1,wit,3,0,0,1
2026-01-15T08:41:47.370642,score_hole,2,roze,3,0,0,1
2026-01-15T08:41:47.494976,score_board,2,roze,1,0,0,1
2026-01-15T08:41:48.766528,score_hole,2,roze,3,0,0,1
2026-01-15T08:41:48.766914,score_board,2,roze,1,0,0,1
2026-01-15T08:41:48.874901,score_board,2,roze,1,0,0,1
2026-01-15T08:41:49.428632,score_board,2,rood,1,0,0,1
2026-01-15T08:41:51.247008,score_board,2,rood,1,0,0,1
2026-01-15T08:41:51.715586,score_hole,2,rood,3,0,0,1
2026-01-15T08:41:52.349105,score_board,2,rood,1,0,0,1
2026-01-15T08:41:52.810551,score_board,2,rood,1,0,0,1
2026-01-15T08:41:52.810983,score_board,2,roze,1,0,0,1
2026-01-15T08:41:53.472932,score_board,2,roze,1,0,0,1
2026-01-15T08:41:54.024304,score_board,2,roze,1,0,0,1
2026-01-15T08:41:54.319299,score_board,2,roze,1,0,0,1
2026-01-15T08:41:58.749003,score_board,2,roze,1,0,0,1
2026-01-15T08:41:59.482212,score_board,2,roze,1,0,0,1
2026-01-15T08:41:59.930963,score_board,2,roze,1,0,0,1
2026-01-15T08:42:02.386236,score_board,2,rood,1,0,0,1
2026-01-15T08:42:03.129135,score_board,2,roze,1,0,0,1
2026-01-15T08:42:03.992757,score_board,2,roze,1,0,0,1
2026-01-15T08:42:04.043972,score_hole,2,roze,3,0,0,1
2026-01-15T08:42:06.130426,score_board,2,roze,1,0,0,1
2026-01-15T08:42:34.101190,score_board,1,geel,1,0,0,1
2026-01-15T08:42:34.101596,score_hole,1,geel,3,0,0,1
2026-01-15T08:42:34.591827,score_board,1,geel,1,0,0,1
2026-01-15T08:42:34.713605,score_board,1,geel,1,0,0,1
2026-01-15T08:42:34.776627,score_board,1,geel,1,0,0,1
2026-01-15T08:42:34.947352,score_board,1,geel,1,0,0,1
2026-01-15T08:42:35.072081,score_board,1,geel,1,0,0,1
2026-01-15T08:42:35.072450,score_board,1,geel,1,0,0,1
2026-01-15T08:42:35.073066,score_board,1,geel,1,0,0,1
2026-01-15T08:42:35.199671,score_board,1,geel,1,0,0,1
