timestamp,event,player,color,points,total_score_p1,total_score_p2,round
2026-03-25T08:28:54.581149,manual_plus,1,,1,21,13,6
2026-03-25T08:28:56.691102,round_end,,,0,21,13,7
2026-03-25T08:32:08.168837,start,,,0,0,0,1
2026-03-25T08:32:14.213283,manual_plus,1,,1,1,0,1
2026-03-25T08:32:14.522353,manual_plus,1,,1,2,0,1
2026-03-25T08:32:14.830552,manual_plus,1,,1,3,0,1
2026-03-25T08:32:15.259477,manual_plus,1,,1,4,0,1
2026-03-25T08:32:15.556433,manual_plus,1,,1,5,0,1
2026-03-25T08:32:15.848672,manual_plus,1,,1,6,0,1
2026-03-25T08:32:16.141113,manual_plus,1,,1,7,0,1
2026-03-25T08:32:16.575450,manual_plus,1,,1,8,0,1
2026-03-25T08:32:17.010241,manual_plus,1,,1,9,0,1
2026-03-25T08:32:17.452334,manual_plus,1,,1,10,0,1
2026-03-25T08:32:17.750434,manual_plus,1,,1,11,0,1
2026-03-25T08:32:18.053106,manual_plus,1,,1,12,0,1
2026-03-25T08:32:18.483960,manual_plus,1,,1,13,0,1
2026-03-25T08:32:18.775868,manual_plus,1,,1,14,0,1
2026-03-25T08:32:19.069732,manual_plus,1,,1,15,0,1
2026-03-25T08:32:19.363237,manual_plus,1,,1,16,0,1
2026-03-25T08:32:19.791977,manual_plus,1,,1,17,0,1
2026-03-25T08:32:20.483394,manual_plus,2,,1,17,1,1
2026-03-25T08:32:20.814488,manual_plus,2,,1,17,2,1
2026-03-25T08:32:21.420157,manual_plus,2,,1,17,3,1
2026-03-25T08:32:21.755019,manual_plus,2,,1,17,4,1
2026-03-25T08:32:22.064864,manual_plus,2,,1,17,5,1
2026-03-25T08:32:22.515602,manual_plus,2,,1,17,6,1
2026-03-25T08:32:22.824129,manual_plus,2,,1,17,7,1
2026-03-25T08:32:23.343383,manual_plus,1,,1,18,7,1
2026-03-25T08:32:23.795690,manual_plus,1,,1,19,7,1
2026-03-25T08:32:24.092015,manual_plus,1,,1,20,7,1
2026-03-25T08:32:24.419442,manual_plus,1,,1,21,7,1
2026-03-25T08:32:25.842147,round_end,,,0,21,7,2
2026-03-25T08:36:47.265240,manual_plus,1,,1,1,0,1
2026-03-25T08:36:47.737970,manual_plus,1,,1,2,0,1
2026-03-25T08:36:48.054909,manual_plus,1,,1,3,0,1
2026-03-25T08:36:48.513461,manual_plus,1,,1,4,0,1
2026-03-25T08:36:48.825818,manual_plus,1,,1,5,0,1
2026-03-25T08:36:49.128222,manual_plus,1,,1,6,0,1
2026-03-25T08:36:49.432398,manual_plus,1,,1,7,0,1
2026-03-25T08:36:49.736227,manual_plus,1,,1,8,0,1
2026-03-25T08:36:50.188243,manual_plus,1,,1,9,0,1
2026-03-25T08:36:50.490025,manual_plus,1,,1,10,0,1
2026-03-25T08:36:50.793266,manual_plus,1,,1,11,0,1
2026-03-25T08:36:51.107964,manual_plus,1,,1,12,0,1
2026-03-25T08:36:51.409591,manual_plus,1,,1,13,0,1
2026-03-25T08:36:51.717644,manual_plus,1,,1,14,0,1
2026-03-25T08:36:52.025884,manual_plus,1,,1,15,0,1
2026-03-25T08:36:52.345104,manual_plus,1,,1,16,0,1
2026-03-25T08:36:52.800436,manual_plus,1,,1,17,0,1
2026-03-25T08:36:53.251713,manual_plus,1,,1,18,0,1
2026-03-25T08:36:53.575175,manual_plus,1,,1,19,0,1
2026-03-25T08:36:53.884449,manual_plus,1,,1,20,0,1
2026-03-25T08:36:54.199127,manual_plus,1,,1,21,0,1
2026-03-25T08:36:54.530773,manual_plus,1,,1,22,0,1
2026-03-25T08:36:56.093476,manual_minus,1,,-1,21,0,1
2026-03-25T08:36:56.444979,manual_minus,1,,-1,20,0,1
2026-03-25T08:36:57.432385,manual_plus,2,,1,20,1,1
2026-03-25T08:36:57.785536,manual_plus,2,,1,20,2,1
2026-03-25T08:36:58.244382,manual_plus,2,,1,20,3,1
2026-03-25T08:36:58.565372,manual_plus,2,,1,20,4,1
2026-03-25T08:36:59.021197,manual_plus,2,,1,20,5,1
2026-03-25T08:36:59.336777,manual_plus,2,,1,20,6,1
2026-03-25T08:37:00.222788,round_end,,,0,20,6,2
2026-03-25T08:37:00.865380,manual_plus,1,,1,21,6,2
2026-03-25T08:37:01.365528,manual_plus,1,,1,22,6,2
2026-03-25T08:37:02.649326,round_end,,,0,22,6,3
2026-03-25T09:09:05.016263,manual_plus,1,,1,1,0,1
2026-03-25T09:09:05.334623,manual_plus,1,,1,2,0,1
2026-03-25T09:09:05.647493,manual_plus,1,,1,3,0,1
2026-03-25T09:09:06.212865,manual_plus,1,,1,4,0,1
2026-03-25T09:09:06.493567,manual_plus,1,,1,5,0,1
2026-03-25T09:09:06.793150,manual_plus,1,,1,6,0,1
2026-03-25T09:09:07.220015,manual_plus,1,,1,7,0,1
2026-03-25T09:09:07.519937,manual_plus,1,,1,8,0,1
2026-03-25T09:09:07.948454,manual_plus,1,,1,9,0,1
2026-03-25T09:09:08.374797,manual_plus,1,,1,10,0,1
2026-03-25T09:09:09.003698,manual_plus,2,,1,10,1,1
2026-03-25T09:09:09.302633,manual_plus,2,,1,10,2,1
2026-03-25T09:09:09.738014,manual_plus,2,,1,10,3,1
2026-03-25T09:09:10.035954,manual_plus,2,,1,10,4,1
2026-03-25T09:09:10.484037,manual_plus,2,,1,10,5,1
2026-03-25T09:09:11.203343,round_end,,,0,10,5,2
2026-03-25T09:09:11.999079,round_end,,,0,10,5,3
2026-03-25T09:09:13.854852,manual_plus,1,,1,11,5,3
2026-03-25T09:09:14.150144,manual_plus,1,,1,12,5,3
2026-03-25T09:09:14.448433,manual_plus,1,,1,13,5,3
2026-03-25T09:09:14.737632,manual_plus,1,,1,14,5,3
2026-03-25T09:09:15.059513,manual_plus,1,,1,15,5,3
2026-03-25T09:09:15.352812,manual_plus,1,,1,16,5,3
2026-03-25T09:09:15.769224,manual_plus,1,,1,17,5,3
2026-03-25T09:09:16.199180,manual_plus,1,,1,18,5,3
2026-03-25T09:09:16.746613,manual_plus,1,,1,19,5,3
2026-03-25T09:09:17.182184,manual_plus,1,,1,20,5,3
2026-03-25T09:09:17.610102,manual_plus,1,,1,21,5,3
2026-03-25T09:09:18.965294,round_end,,,0,21,5,4
