timestamp,bag_id,color,x,y,movement,still_frames,on_board,in_hole
2026-03-23T14:26:13.417320,2,blauw,122,178,45.0999,0,0,0
2026-03-23T14:26:13.418217,6,blauw,150,7,999,0,0,0
2026-03-23T14:26:13.551527,4,blauw,25,578,1.0,1,0,0
2026-03-23T14:26:13.551977,5,blauw,78,343,15.5242,0,0,0
2026-03-23T14:26:13.679974,4,blauw,25,579,1.0,1,0,0
2026-03-23T14:26:13.680424,3,blauw,106,275,15.2971,0,0,0
2026-03-23T14:26:13.811751,4,blauw,25,579,0.0,1,0,0
2026-03-23T14:26:13.812170,7,blauw,79,453,999,0,0,0
2026-03-23T14:26:13.812318,3,blauw,123,228,49.98,0,0,0
2026-03-23T14:26:13.937967,4,blauw,25,576,3.0,0,0,0
2026-03-23T14:26:13.938850,5,blauw,90,314,31.3847,0,0,0
2026-03-23T14:26:13.940379,3,blauw,128,204,24.5153,0,0,0
2026-03-23T14:26:14.068441,4,blauw,25,574,2.0,0,0,0
2026-03-23T14:26:14.069310,5,blauw,95,301,13.9284,0,0,0
2026-03-23T14:26:14.069929,3,blauw,122,236,32.5576,0,0,0
2026-03-23T14:26:14.070557,2,blauw,132,189,14.8661,0,0,0
2026-03-23T14:26:14.197255,4,blauw,26,574,1.0,1,0,0
2026-03-23T14:26:14.324719,5,blauw,84,328,29.1548,0,0,0
2026-03-23T14:26:14.325203,2,blauw,125,208,20.2485,0,0,0
2026-03-23T14:26:14.450792,4,blauw,24,580,6.3246,0,0,0
2026-03-23T14:26:14.578792,4,blauw,25,574,6.0828,0,0,0
2026-03-23T14:26:14.579235,3,blauw,115,251,16.5529,0,0,0
2026-03-23T14:26:14.710247,4,blauw,25,575,1.0,1,0,0
2026-03-23T14:26:14.842517,4,blauw,25,578,3.0,0,0,0
2026-03-23T14:26:14.842938,5,blauw,82,334,6.3246,0,0,0
2026-03-23T14:26:14.843145,2,blauw,123,223,15.1327,0,0,0
2026-03-23T14:26:14.972822,4,blauw,25,580,2.0,0,0,0
2026-03-23T14:26:14.973810,2,blauw,128,218,7.0711,0,0,0
2026-03-23T14:26:14.974273,6,blauw,155,7,5.0,0,0,0
2026-03-23T14:26:15.105603,4,blauw,25,578,2.0,0,0,0
2026-03-23T14:26:15.106287,5,blauw,83,334,1.0,1,0,0
2026-03-23T14:26:15.106643,2,blauw,125,217,3.1623,0,0,0
2026-03-23T14:26:15.237934,2,blauw,122,218,3.1623,0,0,0
2026-03-23T14:26:15.366748,4,blauw,25,575,3.0,0,0,0
2026-03-23T14:26:15.367899,2,blauw,127,215,5.831,0,0,0
2026-03-23T14:26:15.495969,4,blauw,25,575,0.0,1,0,0
2026-03-23T14:26:15.626384,4,blauw,25,580,5.0,0,0,0
2026-03-23T14:26:15.626892,2,blauw,126,216,1.4142,1,0,0
2026-03-23T14:26:15.753604,5,blauw,87,324,10.7703,0,0,0
2026-03-23T14:26:15.754180,2,blauw,122,230,14.5602,0,0,0
2026-03-23T14:26:15.884685,4,blauw,26,576,4.1231,0,0,0
2026-03-23T14:26:15.885126,2,blauw,117,223,8.6023,0,0,0
2026-03-23T14:26:15.885391,8,blauw,148,83,999,0,0,0
2026-03-23T14:26:16.019430,4,blauw,25,575,1.4142,1,0,0
2026-03-23T14:26:16.019874,5,blauw,92,308,16.7631,0,0,0
2026-03-23T14:26:16.020128,2,blauw,127,215,12.8062,0,0,0
2026-03-23T14:26:16.148777,4,blauw,26,574,1.4142,1,0,0
2026-03-23T14:26:16.149224,3,blauw,112,265,14.3178,0,0,0
2026-03-23T14:26:16.277522,4,blauw,26,578,4.0,0,0,0
2026-03-23T14:26:16.277953,5,blauw,81,345,38.6005,0,0,0
2026-03-23T14:26:16.404743,4,blauw,26,575,3.0,0,0,0
2026-03-23T14:26:16.923294,9,blauw,8,18,999,0,0,0
2026-03-23T14:26:17.053385,9,blauw,8,13,5.0,0,0,0
2026-03-23T14:26:17.184866,9,blauw,7,18,5.099,0,0,0
2026-03-23T14:26:17.442390,9,blauw,7,17,1.0,1,0,0
2026-03-23T14:26:17.571358,9,blauw,6,17,1.0,1,0,0
2026-03-23T14:26:17.701998,10,wit,694,201,999,0,0,0
2026-03-23T14:26:17.958814,4,blauw,25,590,15.0333,0,0,0
2026-03-23T14:26:17.959542,3,blauw,116,251,14.5602,0,0,0
2026-03-23T14:26:18.088801,4,blauw,46,575,25.807,0,0,0
2026-03-23T14:26:18.089278,9,blauw,7,17,1.0,1,0,0
2026-03-23T14:26:18.089621,11,rood,1089,228,999,0,0,0
2026-03-23T14:26:18.089847,12,wit,531,89,999,0,0,0
2026-03-23T14:26:18.222762,4,blauw,61,571,15.5242,0,0,0
2026-03-23T14:26:18.223319,9,blauw,8,19,2.2361,0,0,0
2026-03-23T14:26:18.223583,13,rood,846,500,999,0,1,0
2026-03-23T14:26:18.223761,14,rood,976,222,999,0,0,0
2026-03-23T14:26:18.223899,15,rood,1094,44,999,0,0,0
2026-03-23T14:26:18.224027,16,wit,193,526,54.1202,0,0,0
2026-03-23T14:26:18.224329,12,wit,508,55,41.0488,0,0,0
2026-03-23T14:26:18.355687,4,blauw,90,562,30.3645,0,0,0
2026-03-23T14:26:18.356197,6,blauw,130,24,30.2324,0,0,0
2026-03-23T14:26:18.356479,9,blauw,10,22,3.6056,0,0,0
2026-03-23T14:26:18.356780,17,rood,939,694,999,0,0,0
2026-03-23T14:26:18.356958,18,rood,50,673,999,0,0,0
2026-03-23T14:26:18.357081,19,rood,457,424,999,0,1,1
2026-03-23T14:26:18.357189,16,wit,202,519,11.4018,0,0,0
2026-03-23T14:26:18.486923,4,blauw,81,561,9.0554,0,0,0
2026-03-23T14:26:18.487391,9,blauw,11,25,3.1623,0,0,0
2026-03-23T14:26:18.487699,20,rood,487,709,999,0,0,0
2026-03-23T14:26:18.487875,21,rood,362,691,999,0,0,0
2026-03-23T14:26:18.488010,22,rood,1131,610,999,0,0,0
2026-03-23T14:26:18.488127,16,wit,210,516,8.544,0,0,0
2026-03-23T14:26:18.617949,21,rood,371,693,9.2195,0,0,0
2026-03-23T14:26:18.618427,22,rood,1127,612,4.4721,0,0,0
2026-03-23T14:26:18.618643,16,wit,216,513,6.7082,0,0,0
2026-03-23T14:26:18.749753,22,rood,1127,616,4.0,0,0,0
2026-03-23T14:26:18.750228,16,wit,222,511,6.3246,0,0,0
2026-03-23T14:26:18.883959,22,rood,1117,606,14.1421,0,0,0
2026-03-23T14:26:18.884396,16,wit,226,502,9.8489,0,0,0
2026-03-23T14:26:19.011829,16,wit,244,495,19.3132,0,0,0
2026-03-23T14:26:19.143699,16,wit,242,492,3.6056,0,0,0
2026-03-23T14:26:19.271338,23,wit,157,506,999,0,0,0
2026-03-23T14:26:19.271673,16,wit,276,486,34.5254,0,0,0
2026-03-23T14:26:19.399569,16,wit,279,484,3.6056,0,0,0
2026-03-23T14:26:19.529308,16,wit,261,482,18.1108,0,0,0
2026-03-23T14:26:19.656352,24,blauw,1215,111,999,0,0,0
2026-03-23T14:26:19.657444,16,wit,244,479,17.2627,0,0,0
2026-03-23T14:26:19.785719,16,wit,251,481,7.2801,0,0,0
2026-03-23T14:26:19.911603,24,blauw,1224,95,18.3576,0,0,0
2026-03-23T14:26:19.912240,16,wit,248,477,5.0,0,0,0
2026-03-23T14:26:20.045442,24,blauw,1184,130,53.1507,0,0,0
2026-03-23T14:26:20.046132,25,blauw,1260,47,999,0,0,0
2026-03-23T14:26:20.046521,16,wit,239,482,10.2956,0,0,0
2026-03-23T14:26:20.179206,15,rood,1146,64,55.7136,0,0,0
2026-03-23T14:26:20.179850,26,blauw,1196,14,999,0,0,0
2026-03-23T14:26:20.180184,16,wit,236,482,3.0,0,0,0
2026-03-23T14:26:20.311089,24,blauw,1186,101,29.0689,0,0,0
2026-03-23T14:26:20.311717,16,wit,236,482,0.0,1,0,0
2026-03-23T14:26:20.439896,24,blauw,1192,147,46.3897,0,0,0
2026-03-23T14:26:20.440601,16,wit,234,485,3.6056,0,0,0
2026-03-23T14:26:21.336241,27,blauw,573,707,999,0,0,0
2026-03-23T14:26:21.466007,28,blauw,340,9,999,0,0,0
2026-03-23T14:26:21.598981,29,blauw,327,608,999,0,0,0
2026-03-23T14:26:21.599531,30,blauw,1044,67,999,0,0,0
2026-03-23T14:26:21.599738,31,blauw,879,17,999,0,0,0
2026-03-23T14:26:21.599886,32,blauw,534,11,49.0918,0,0,0
2026-03-23T14:26:21.733824,33,blauw,178,352,999,0,0,0
2026-03-23T14:26:21.992818,34,blauw,203,138,999,0,0,0
2026-03-23T14:26:23.297544,7,blauw,90,428,27.313,0,0,0
2026-03-23T14:26:23.434368,7,blauw,98,421,10.6301,0,0,0
2026-03-23T14:26:24.220597,4,blauw,26,573,56.2939,0,0,0
2026-03-23T14:26:24.353723,4,blauw,26,573,0.0,1,0,0
2026-03-23T14:26:24.487039,4,blauw,25,579,6.0828,0,0,0
2026-03-23T14:26:24.487759,7,blauw,74,461,46.6476,0,0,0
2026-03-23T14:26:24.488318,5,blauw,92,307,39.5601,0,0,0
2026-03-23T14:26:24.615952,7,blauw,67,416,45.5412,0,0,0
2026-03-23T14:26:24.879672,4,blauw,26,574,5.099,0,0,0
2026-03-23T14:26:25.010612,4,blauw,25,576,2.2361,0,0,0
2026-03-23T14:26:25.144062,4,blauw,26,575,1.4142,1,0,0
2026-03-23T14:26:25.144676,5,blauw,98,295,13.4164,0,0,0
